network_branch_id,pre_fault_loading_mean,pre_fault_loading_max,fault_on_loading_max,fault_on_loading_peak_time_s,post_clear_early_loading_mean,post_clear_early_loading_max,post_clear_early_loading_peak_time_s,post_clear_late_loading_mean,post_clear_late_loading_max,post_clear_late_loading_peak_time_s,post_clear_early_delta_from_pre_fault,post_clear_late_delta_from_pre_fault,terminal_selected_by_max_loading,loading_formula_type,rating_basis_id,loading_quality_status,rating_value_mva,rating_limit_pu_on_100mva_base,ratio_above_one_observation,candidate_classification,rank
E_28_29_1,3.555108287103697,3.561300975040938,3.5491306150347914,0.5,16.45095235413388,19.695969170689732,2.72,12.944166897570064,15.36295434464307,8.61,12.895844067030183,9.389058610466368,B,apparent_power_ratio,E_28_29_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,1
E_16_17_1,2.470081871440822,2.489486426834542,7.666344900204108,0.68,9.828690064608242,14.891539273043572,2.83,10.61041146055305,15.288151019682704,13.02,7.35860819316742,8.140329589112229,B,apparent_power_ratio,E_16_17_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,2
E_17_27_1,0.4802944059667955,0.4834546961232223,7.928082687827165,1.17,11.552267737335258,15.376205293879089,2.83,11.541806182705907,15.131366623495158,8.99,11.071973331368463,11.061511776739112,B,apparent_power_ratio,E_17_27_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,3
E_2_25_1,2.8776950966972157,2.9359459299733004,3.0228942094415614,0.69,6.838769481243685,13.109555638035175,2.74,5.448963609636624,14.93827392032145,9.05,3.9610743845464693,2.571268512939408,A,apparent_power_ratio,E_2_25_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,4
E_26_27_1,2.7219298447658047,2.7248012030548474,6.15215950119921,1.18,11.468551708230821,15.636231264994521,2.73,11.872888379135894,14.767174173979178,13.04,8.746621863465016,9.150958534370089,B,apparent_power_ratio,E_26_27_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,5
E_26_28_1,1.5436552371884897,1.5482529015692845,5.261615949721193,0.69,13.3328099583894,17.800937934773188,2.84,11.716417758949255,14.008591023112018,8.93,11.78915472120091,10.172762521760765,B,apparent_power_ratio,E_26_28_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,6
E_26_29_1,2.0577319092220225,2.0624766295560746,5.2183416522664325,0.69,15.25703284079096,18.667518893851224,2.85,12.018242765884137,13.926570806763628,8.93,13.199300931568937,9.960510856662115,B,apparent_power_ratio,E_26_29_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,7
E_25_26_1,0.6596073134591252,0.6626007979761106,8.180550573214022,0.69,10.869841469533274,14.955846913956679,2.83,10.013737669227675,13.779863871401375,8.85,10.210234156074149,9.35413035576855,A,apparent_power_ratio,E_25_26_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,8
E_16_19_1,5.204260518024472,5.21612128626015,6.134021114603162,2.5,6.288517149143369,10.397884493024703,2.83,8.410678762898137,12.302169745636933,13.04,1.0842566311188975,3.2064182448736647,A,apparent_power_ratio,E_16_19_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,9
E_1_2_1,1.2608680791117386,1.2803393436545634,2.7710217026963413,2.17,4.374316788182551,6.987993580116055,2.73,3.7243677950182166,11.791206473986998,9.08,3.113448709070812,2.4634997159064778,B,apparent_power_ratio,E_1_2_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,10
E_1_39_1,1.3428015640497446,1.3498035264829416,2.5138926842125264,2.14,4.422445439429758,6.769238637917712,2.72,3.9160213348060617,10.954972841397845,9.05,3.0796438753800137,2.5732197707563174,B,apparent_power_ratio,E_1_39_1:generated_tli_total_mva_rating,pass,100.0,1.0,True,qualified_loading_ratio;ratio_above_one_observation;post_clear_candidate,11
