network_branch_id,terminal_selected_by_score,I_response_score,baseline_I,post_clear_early_I,peak_I_during_fault_on,peak_I_time_s,relative_I_change_if_denominator_valid,relative_I_change_status,measurement_unit,data_quality_status
E_17_27_1,B,2.1870079760374668,0.0395749697901632,2.22658294582763,1.5703983191751,1.22,55.26240418207652,valid,,pass
E_26_28_1,A,1.9616356762773317,0.23640966541519318,2.198045341692525,1.5171977774125,0.58,8.297611998359796,valid,,pass
E_25_26_1,B,1.9314122298709404,0.10431213416576719,2.0357243640367075,1.546541749453,0.69,18.515700453426106,valid,,pass
E_26_27_1,B,1.9147252073293115,0.4298334901829588,2.3445586975122703,1.4869936902603,0.58,4.454574273666549,valid,,pass
E_26_29_1,A,1.9059099228963952,0.3151149773367124,2.2210249002331075,1.5083070407277,0.58,6.048300017361147,valid,,pass
E_28_29_1,A,1.7339281875372738,0.5646304955474712,2.298558683084745,1.5656292286611,0.58,3.070907790511811,valid,,pass
E_16_17_1,B,1.4319845833291016,0.40056243916673756,1.8325470224958391,1.3890157356483,0.68,3.574934750017901,valid,,pass
E_2_25_1,A,0.747285841321699,0.45575010719108916,1.2030359485127882,0.5550927259552,0.69,1.6396833034827423,valid,,pass
E_1_2_1,A,0.6001337027806439,0.17190638754113038,0.7720400903217743,0.42696775079689,2.14,3.491049468054558,valid,,pass
E_1_39_1,A,0.6001337027806439,0.17190638754113038,0.7720400903217743,0.42696775079689,2.14,3.491049468054558,valid,,pass
E_3_4_1,A,0.5118123141636604,0.1931120646051648,0.7049243787688252,0.33753597832999,2.27,2.6503383680875,valid,,pass
E_3_18_1,B,0.3589676582966599,0.1054772722581116,0.4644449305547715,0.30616982229823,0.53,3.4032702079954853,valid,,pass
E_4_5_1,A,0.28690529100691053,0.2506334146598872,0.5375387056667977,0.46081961311036,0.68,1.1447208322012639,valid,,pass
E_14_15_1,B,0.26454650382573475,0.0099830916443065,0.27452959547004124,0.17031986704409,0.72,26.499456606371975,valid,,pass
E_16_24_1,B,0.24822722798178312,0.1729820340762064,0.42120926205798953,0.39975588521656,2.07,1.4349884906106942,valid,,pass
E_17_18_1,A,0.2348442073559932,0.365741696317594,0.6005859036735872,0.42938478352892,0.53,0.6421040032363847,valid,,pass
E_16_19_1,A,0.21834482434728797,0.8376288675707019,1.0559736919179898,1.0425513186666,2.5,0.2606701282640048,valid,,pass
E_9_39_1,A,0.20629499583285613,0.1288529818337604,0.3351479776666165,0.22473180672727,1.99,1.6010106471498462,valid,,pass
E_8_9_1,B,0.20629499583285585,0.1288529818337604,0.33514797766661625,0.22473180672727,1.99,1.6010106471498442,valid,,pass
E_16_21_1,A,0.15778608639071945,0.5451768641141372,0.7029629505048567,0.67293485346874,0.56,0.2894218312934234,valid,,pass
E_5_8_1,A,0.120018038275443,0.5333469016505188,0.6533649399259618,0.53726499062535,2.02,0.2250280969178407,valid,,pass
E_21_22_1,A,0.11171908473756642,1.004295485913688,1.1160145706512543,1.1020601428855,0.51,0.11124124951724405,valid,,pass
E_15_16_1,B,0.09887541526947252,0.5666435070791692,0.6655189223486417,0.5664829211053,0.5,0.17449315845713562,valid,,pass
E_7_8_1,B,0.09815285332454354,0.31132189715593517,0.4094747504804787,0.32611641339134,2.0,0.31527770523440135,valid,,pass
E_6_11_1,A,0.09158810953997543,0.6099843210208968,0.7015724305608723,0.61063922585861,1.96,0.15014830116729805,valid,,pass
E_6_7_1,B,0.08888634035335619,0.7159777563735775,0.8048640967269337,0.71580052510285,0.5,0.1241467902628217,valid,,pass
E_4_14_1,A,0.07242945876278073,0.4719390855319072,0.544368544294688,0.50788539387682,2.5,0.15347204964205888,valid,,pass
E_23_24_1,B,0.06975925156037277,0.5745105754953392,0.644269827055712,0.63586538339124,0.51,0.12142379015430099,valid,,pass
E_13_14_1,B,0.0409192123517606,0.46984002982536116,0.5107592421771218,0.55960559876948,0.56,0.08709179668443792,valid,,pass
E_2_3_1,A,0.03682739920056277,0.5542928242169485,0.5911202234175112,0.58718221753368,1.5,0.06644033188159881,valid,,pass
E_22_23_1,B,0.023242802708470248,0.121768698105392,0.14501150081386224,0.1347419557161,0.62,0.1908766626407829,valid,,pass
