network_branch_id,pre_fault_window_s,post_dfig_pre_line_trip_window_s,late_post_line_trip_window_s,pre_raw_S_mean,pre_raw_S_max,post_dfig_raw_S_mean,post_dfig_raw_S_max,late_raw_S_mean,late_raw_S_max,pre_I_mean,post_dfig_I_mean,late_I_mean,delta_post_dfig_raw_S_mean,delta_late_raw_S_mean,status,post_dfig_response_rank
E_26_29_1,0.20-0.49,2.46-7.50,8.03-20.00,2.0581074276834204,2.063685780857563,11.149681946975026,18.663806161094747,24.296860930232572,27.33908684644281,0.3287899575490967,1.9289153070720528,2.3249413210547587,9.091574519291605,22.23875350254915,trend_only_no_rating_claim,1
E_17_27_1,0.20-0.49,2.46-7.50,8.03-20.00,0.4803021833164891,0.4836443841853092,9.346265862016248,15.438452329136979,10.59847584467643,14.541722414386886,0.07823167694500524,2.007470923592161,1.5867145802765792,8.865963678699758,10.118173661359942,trend_only_no_rating_claim,2
E_28_29_1,0.20-0.49,2.46-7.50,8.03-20.00,3.5556162744730475,3.5623330291266466,11.82277034481092,19.655949183550387,0.38495788137022735,0.4952777989968304,0.5680169960976007,1.956690041780012,0.05020722185926231,8.267154070337872,-3.17065839310282,trend_only_no_rating_claim,3
E_26_28_1,0.20-0.49,2.46-7.50,8.03-20.00,1.5439701211821861,1.549410769023978,9.80346259768487,17.76070892292281,3.2133044207800427,4.082411519388468,0.246862717415548,1.9220557421086062,0.4207213110930164,8.259492476502684,1.6693342995978566,trend_only_no_rating_claim,4
E_25_26_1,0.20-0.49,2.46-7.50,8.03-20.00,0.6612228797352915,0.6656389524791285,8.842481154610573,14.864817354614596,8.589009464787594,11.425393371226962,0.10579306449187334,1.8562974903270473,1.223204657675664,8.181258274875281,7.927786585052303,trend_only_no_rating_claim,5
E_26_27_1,0.20-0.49,2.46-7.50,8.03-20.00,2.7217263049939446,2.7261614878235005,8.847916943141099,15.556522396756678,10.64354536671735,13.159053608397096,0.4415360985466207,2.028682198195663,1.4716509717492277,6.126190638147154,7.921819061723404,trend_only_no_rating_claim,6
E_16_17_1,0.20-0.49,2.46-7.50,8.03-20.00,2.4710466552269756,2.49239060042912,8.346842628671228,15.048802627057345,10.324694635560348,14.886830887454378,0.40236644627682966,1.7035417642552644,1.6684075525590645,5.8757959734442515,7.853647980333372,trend_only_no_rating_claim,7
E_1_39_1,0.20-0.49,2.46-7.50,8.03-20.00,1.3414764637966345,1.3531410253446794,3.625054103008022,8.367174309534558,3.5088646031957174,9.911474742681596,0.21804221805212098,0.6881377000739176,0.5739492876936563,2.2835776392113876,2.167388139399083,trend_only_no_rating_claim,8
E_1_2_1,0.20-0.49,2.46-7.50,8.03-20.00,1.2607408110159353,1.2865824244381001,3.5068224793388203,8.583297766633104,3.2282527040934887,10.332364072117462,0.20438827423023734,0.6938586043209067,0.5094575951478844,2.2460816683228852,1.9675118930775535,trend_only_no_rating_claim,9
E_2_25_1,0.20-0.49,2.46-7.50,8.03-20.00,2.879593272556899,2.9406678351992177,4.690581691772005,13.234775250626788,5.143186112865947,13.193968789792255,0.45991512340351337,0.9337773722509572,0.7883493587966754,1.8109884192151058,2.2635928403090477,trend_only_no_rating_claim,10
