rank,network_branch_id,pre_fault_index_mean,pre_fault_index_max,fault_on_index_max,post_clear_early_index_mean,post_clear_early_index_max,post_clear_late_index_mean,post_clear_late_index_max,index_formula,semantic_status
1,E_28_29_1,3.555108287103697,3.561300975040938,3.5491306150347914,16.45095235413388,19.695969170689732,12.944166897570064,15.36295434464307,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
2,E_16_17_1,2.470081871440822,2.489486426834542,7.666344900204108,9.828690064608242,14.891539273043572,10.61041146055305,15.288151019682704,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
3,E_17_27_1,0.4802944059667955,0.4834546961232223,7.928082687827165,11.552267737335258,15.376205293879089,11.541806182705907,15.131366623495158,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
4,E_2_25_1,2.8776950966972157,2.9359459299733004,3.0228942094415614,6.838769481243685,13.109555638035175,5.448963609636624,14.93827392032145,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
5,E_26_27_1,2.7219298447658047,2.7248012030548474,6.15215950119921,11.468551708230821,15.636231264994521,11.872888379135894,14.767174173979178,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
6,E_26_28_1,1.5436552371884897,1.5482529015692845,5.261615949721193,13.3328099583894,17.800937934773188,11.716417758949255,14.008591023112018,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
7,E_26_29_1,2.0577319092220225,2.0624766295560746,5.2183416522664325,15.25703284079096,18.667518893851224,12.018242765884137,13.926570806763628,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
8,E_25_26_1,0.6596073134591252,0.6626007979761106,8.180550573214022,10.869841469533274,14.955846913956679,10.013737669227675,13.779863871401375,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
9,E_16_19_1,5.204260518024472,5.21612128626015,6.134021114603162,6.288517149143369,10.397884493024703,8.410678762898137,12.302169745636933,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
10,E_1_2_1,1.2608680791117386,1.2803393436545634,2.7710217026963413,4.374316788182551,6.987993580116055,3.7243677950182166,11.791206473986998,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
11,E_1_39_1,1.3428015640497446,1.3498035264829416,2.5138926842125264,4.422445439429758,6.769238637917712,3.9160213348060617,10.954972841397845,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
12,E_2_3_1,3.4224390700560803,3.4314403587780684,3.4068915529345465,3.4189658604926514,6.877781079242647,3.716420774092078,10.06930523337907,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
13,E_21_22_1,6.241247780337484,6.250551178547787,6.609511915172861,6.80028630174276,10.210202385324662,7.312699080154761,9.640925891652492,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
14,E_4_5_1,1.4948786312850493,1.5104696477687107,2.567157049973571,2.897641212470238,4.533784098650783,3.817662837160798,8.253997318431306,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
