network_branch_id,pre_trip_window_s,post_trip_early_window_s,post_trip_late_window_s,pre_P,early_P,delta_P,pre_Q,early_Q,delta_Q,pre_I,early_I,delta_I,pre_raw_S,early_raw_S,delta_raw_S,late_P,late_Q,late_I,late_raw_S,response_score,status,response_rank_all_lines,redistribution_rank_excluding_opened_line
E_26_28_1,7.31-7.49,7.53-8.01,8.31-9.00,10.599731140010181,2.1430123554984584,-8.456718784511724,21.05134842117005,0.930633373022665,-20.120715048147385,2.4407342737565365,0.40451234493532223,-2.0362219288212144,23.83213865653256,2.4076591399664147,-21.424479516566144,2.112041528366163,0.6528072252707541,0.3529373453803056,2.210635184615332,21.424479516566144,post_trip_high_stress_response_trend_only,2,1
E_26_27_1,7.31-7.49,7.53-8.01,8.31-9.00,6.1220512856176805,0.7370664432307734,-5.384984842386907,8.1675597795992,0.6395486285466027,-7.528011151052597,1.5426315999359261,0.1752303383991563,-1.3674012615367699,10.658326170851709,1.0321515435250028,-9.626174627326705,1.9609031370913346,1.228558501497395,0.37501547865312557,2.3170678943492953,9.626174627326705,post_trip_high_stress_response_trend_only,3,2
E_16_17_1,7.31-7.49,7.53-8.01,8.31-9.00,8.654513476097998,2.27087107018474,-6.383642405913259,4.952170382895052,0.9091065442088104,-4.043063838686242,1.740221580817471,0.4245467208948351,-1.315674859922636,10.554051380157716,2.5579103382153736,-7.996141041942343,6.185141842002088,0.5929351206411292,1.0050517113713457,6.201179451879539,7.996141041942343,post_trip_high_stress_response_trend_only,4,3
E_17_27_1,7.31-7.49,7.53-8.01,8.31-9.00,7.706974663289563,3.358966580479842,-4.34800808280972,6.243085347359326,0.3063366917145516,-5.936748655644775,1.6643929975778273,0.56484543235087,-1.0995475652269573,10.538021773669369,3.39770415892841,-7.140317614740959,4.827241503139888,0.4805170987062414,0.7850828378227378,4.846722503313836,7.140317614740959,post_trip_high_stress_response_trend_only,5,4
E_2_25_1,7.31-7.49,7.53-8.01,8.31-9.00,5.417188824639046,1.7315627871542811,-3.685626037484765,4.95781235961189,1.61218197796289,-3.3456303816490003,1.1726165010439116,0.3900508459862612,-0.7825656550576503,7.689966350986912,2.456587460234342,-5.23337889075257,0.8245561921270501,1.660587901692523,0.2984674610444887,1.8792622842407987,5.23337889075257,post_trip_high_stress_response_trend_only,6,5
E_16_19_1,7.31-7.49,7.53-8.01,8.31-9.00,8.166065638918575,4.349138021730063,-3.8169276171885116,2.0181892735935447,1.3626684486052176,-0.6555208249883271,1.3620682946585827,0.7151140132827801,-0.6469542813758026,8.377146402572539,4.609613443670388,-3.7675329589021507,7.096508545656125,0.7743304485495197,1.1381654747424612,7.142462907562771,3.7675329589021507,post_trip_high_stress_response_trend_only,7,6
E_3_4_1,7.31-7.49,7.53-8.01,8.31-9.00,2.5494301154097716,0.8418261166475789,-1.7076039987621927,3.099017202101316,1.147011838604607,-1.952005363496709,0.7101463604006778,0.23977061868144997,-0.4703757417192278,4.302654249417637,1.4641359461405947,-2.8385183032770422,0.5290243036512036,1.2770578829247556,0.23383852806962016,1.4138220714706062,2.8385183032770422,post_trip_high_stress_response_trend_only,8,7
E_16_21_1,7.31-7.49,7.53-8.01,8.31-9.00,4.790293326882105,2.6487355444458367,-2.141557782436268,0.963870204435012,0.465369576058345,-0.49850062837666703,0.8124216650078858,0.42381657446848997,-0.38860509053939585,4.902859879578593,2.72261353934372,-2.1802463402348735,4.14843535277666,0.22469683463539886,0.6728314594393963,4.154507289583299,2.1802463402348735,post_trip_high_stress_response_trend_only,9,8
E_8_9_1,7.31-7.49,7.53-8.01,8.31-9.00,2.593438766017142,4.751771931412869,2.158333165395727,0.8132032333909711,0.26186103469728894,-0.5513421986936822,0.46729946289814633,0.7708808768102714,0.30358141391212506,2.797750675086395,4.758907161564007,1.9611564864776123,1.4227501083791485,0.8716569439875238,0.279198812341436,1.6810003744837216,1.9611564864776123,post_trip_high_stress_response_trend_only,10,9
E_2_3_1,7.31-7.49,7.53-8.01,8.31-9.00,2.324997298868286,6.307668832589782,3.9826715337214957,3.295031893948032,0.6135993048541712,-2.681432589093861,0.6828891062357137,1.000623298000821,0.3177341917651072,4.427396687423259,6.34225708999019,1.9148604025669318,3.116356742838747,1.2300011015834915,0.5466334682313061,3.390431710839945,1.9148604025669318,post_trip_high_stress_response_trend_only,11,10
E_9_39_1,7.31-7.49,7.53-8.01,8.31-9.00,2.602680157024358,4.77388370497049,2.171203547946132,1.2825698663723406,0.4978530051145965,-0.7847168612577441,0.4790357964358121,0.7760613978896501,0.297025601453838,2.9337351241592855,4.804639222895363,1.8709040987360779,1.4248163995986387,0.6809480690431922,0.2558659280244806,1.583493436506528,1.8709040987360779,post_trip_high_stress_response_trend_only,12,11
E_21_22_1,7.31-7.49,7.53-8.01,8.31-9.00,7.67589264924479,5.7080282208814985,-1.9678644283632911,0.9660383468978111,1.6419576538794571,0.675919306981646,1.2522335285013795,0.9135247694994618,-0.33870875900191766,7.760370329276408,5.951449623395559,-1.8089207058808485,6.9682625732311845,1.4648577628079058,1.1354211033025043,7.123786787655825,1.8089207058808485,post_trip_high_stress_response_trend_only,13,12
