network_branch_id,third_line_readiness,supporting_metric,sustained_duration_s,model_change_authorized_now
E_13_14_1,third_line_not_defensible,-0.8806638063075511,0.0,False
E_14_15_1,third_line_candidate_requires_longer_run,1.7681023620831255,0.14000000000000057,False
E_15_16_1,third_line_candidate_requires_longer_run,1.2928794617375554,0.15000000000000036,False
E_16_17_1,third_line_not_defensible,-4.29382141889876,0.0,False
E_16_19_1,third_line_not_defensible,-2.1209643170145007,0.0,False
E_16_21_1,third_line_not_defensible,-0.5844273355975496,0.0,False
E_16_24_1,third_line_candidate_requires_longer_run,0.7750181343464031,0.15000000000000036,False
E_17_18_1,third_line_candidate_requires_longer_run,1.9322401867191448,0.3000000000000007,False
E_17_27_1,third_line_not_defensible,-7.802467688617174,0.0,False
E_1_2_1,third_line_candidate_requires_longer_run,2.337678699842553,0.08000000000000185,False
E_1_39_1,third_line_candidate_requires_longer_run,3.515951450964078,0.3800000000000008,False
E_21_22_1,third_line_not_defensible,-0.8510201334823817,0.0,False
E_22_23_1,third_line_not_defensible,-0.08244716709493294,0.019999999999999574,False
E_23_24_1,third_line_not_defensible,-0.878113417191412,0.0,False
E_25_26_1,third_line_not_defensible,-5.7366135539258245,0.0,False
E_26_27_1,third_line_not_defensible,-9.050029241899564,0.0,False
E_26_28_1,third_line_not_defensible,-1.5328906476192714,0.0,False
E_2_25_1,third_line_not_defensible,-1.6300245261856112,0.0,False
E_2_3_1,third_line_not_defensible,-0.9247882065438056,0.0,False
E_3_18_1,third_line_candidate_requires_longer_run,1.9574903096061254,0.16999999999999993,False
E_3_4_1,third_line_not_defensible,-2.6721837430292092,0.0,False
E_4_14_1,third_line_not_defensible,-0.19812395485501133,0.07000000000000028,False
E_4_5_1,third_line_not_defensible,-1.4238996064847167,0.0,False
E_5_8_1,third_line_candidate_requires_longer_run,2.211182769886362,0.4399999999999995,False
E_6_11_1,third_line_candidate_requires_longer_run,0.9496911310467091,0.3800000000000008,False
E_6_7_1,third_line_candidate_requires_longer_run,1.2858635466020614,0.15000000000000213,False
E_7_8_1,third_line_candidate_requires_longer_run,2.391218750703601,0.629999999999999,False
E_8_9_1,third_line_candidate_requires_longer_run,3.4199718294688672,0.41999999999999993,False
E_9_39_1,third_line_candidate_requires_longer_run,5.170327405238442,0.6300000000000008,False
