paper_step_id,paper_modeling_category,paper_requirement,paper_evidence_id,paper_section_page,current_project_component,current_project_evidence,alignment_class,alignment_status,reasoning,strict_reproduction_possible,minimum_adaptation_needed,prerequisite_dependency,recommended_priority,requires_model_change,requires_future_run,safe_current_claim,prohibited_claim
P01,system topology and source replacement,"IEEE39, 220 kV, 10 generators, 46 lines; buses 33/35/38 replaced by wind farms",E008;E009,"2.4-2.5, pp.13-16",PNNL 39-bus / 3IBR trial,CAP01;CAP09;CAP10,partially_aligned,partial,"System family aligns, but bus replacements, ratings and parameters are not proven one-to-one.",no,trace bus/branch/source correspondence and ratings,paper topology table and current branch map,medium,yes,yes,structurally related IEEE39 adaptation,strict topology reproduction
P02,wind-farm / DFIG model,WECC second-generation DFIG wind-farm representation,E002;E021,摘要; 2.4.2; 3.3.1.2,Type-3 DFIG plus two IBR_AVM sources,CAP07-CAP10,structurally_aligned_adaptation,partial,"One audited Type-3 DFIG exists, but all three sources are not paper-identical wind farms.",no,document model and parameter equivalence,source model provenance,medium,yes,yes,one Type-3 DFIG adaptation is audited,three paper-identical wind farms
P03,initial fault type,three-phase short circuit for the baseline chain,E010,2.5 p.16,existing master:tfaultn scenario,CAP06,partially_aligned,partial,A fault source exists but the approved current scenario is not the paper baseline.,no,paper-aligned fault configuration after observability,target bus and clearing boundary,medium,yes,yes,fault infrastructure is partially available,paper fault reproduced
P04,initial fault location,near bus 29 at 0.50 s,E017,2.5 p.16,no audited bus-29 fault target,CAP06,missing,gap,Current fault location is not traced to bus 29.,no,identify bus-29 electrical boundary,topology correspondence,medium,yes,yes,paper location is not implemented,bus-29 benchmark validated
P05,fault clearing rule,baseline fault lasts 2.0 s,E018,2.5 p.16,existing fixed fault timing,CAP06,partially_aligned,gap,Fault timing infrastructure exists but current run settings are different.,no,configure only after target observability exists,P04,medium,yes,yes,fault timing capability exists,paper clearing reproduced
P06,simulation duration,20 s scenario horizon,E009,2.5 p.15,current trial duration 5 s,run summary,contradicted,gap,The current trial horizon cannot contain delayed overload and generator actions.,no,future dedicated paper-aligned scenario,all safety prerequisites,low,yes,yes,current 5 s trials are interface tests,20 s paper scenario reproduced
P07,wind LVRT / trip protection,paper fault-voltage curve and delayed trip,E004,2.3.2 pp.11-12,DFIG_LVRT_* and BRK_DFIG,CAP08,partially_aligned,partial,"A real local DFIG trip chain exists, but Eq. 2-8 equivalence is incomplete.",no,equation-by-equation criterion audit,voltage semantics and target branch,medium,yes,yes,DFIG LVRT scaffold is audited,paper LVRT strictly reproduced
P08,power-flow redistribution,source trip/topology change causes line-flow redistribution,E003;E010;E012,2.3.1; 2.5; 3.3.1.2,source V/P/Q only,CAP02;CAP03,missing,critical_gap,No comprehensive branch P/Q/I/loading record can show the propagation link.,no,add monitor-only branch observability,target-line map,highest,yes,yes,source trajectories are recorded,network redistribution validated
P09,line overload protection,"inverse-time line overload action, 1.1 anchor and 5 s",E003,2.3.1 p.11,none,CAP05,missing,gap,No real-line loading input or overload relay exists.,no,observe first; shadow relay only after traceability,P08,high,yes,yes,paper rule is documented,line protection validated
P10,branch trip,overloaded lines open and alter topology,E010;E011,2.5 pp.16-17; Fig.3-3,source-local breakers only,CAP04,missing,gap,No audited transmission branch actuation boundary is available.,no,shadow-only before any breaker connection,P08;P09,low,yes,yes,source breaker states are observable,paper line-trip cascade reproduced
P11,under-frequency load shedding,three-stage UFLS,E006,2.3.4 pp.12-13,none,CAP19-CAP21,missing,gap,Frequency and load-shed interfaces are not audited.,no,frequency/load observability then shadow monitor,P08,low,yes,yes,paper UFLS rule is registered,UFLS validated
P12,under-voltage load shedding,"0.8 p.u., 1 s, 25 percent UVLS",E019,2.3.4 p.13,none,CAP20;CAP22,missing,gap,No load-shed actuation or audited load-bus voltage map.,no,load-bus observability then shadow monitor,P08,low,yes,yes,paper UVLS rule is registered,UVLS validated
P13,conventional-generator protection,frequency and voltage trip limits/delays,E005,2.3.3 p.12,generator models without audited trip logic,CAP23,missing,gap,Dynamic machines exist but paper protection is not traced.,no,generator terminal observability and shadow monitor,P08,low,yes,yes,generator models exist,generator protection validated
P14,temporary-overvoltage protection,1.3 p.u. no-delay related-line opening,E007,2.3.5 p.13,none,CAP24,missing,gap,No TOV-to-line action path exists.,no,target-voltage observability then shadow monitor,P08,low,yes,yes,paper TOV rule is registered,TOV protection validated
P15,SVC / STATCOM,dynamic compensation near wind farm; bus-28 300 MVar comparison,E015;E016;E020,4.2-4.3 pp.31-38,none,CAP25;CAP26,missing,gap,Neither device exists in the trial.,no,defer until the unmitigated chain is observable,P08-P14,deferred,yes,yes,mitigation evidence is identified,voltage-support performance validated
P16,scenario comparison dimensions and outputs,"vary fault, duration, penetration, distance; measure cuts, trips, shedding and severity",E013;E014,3.3.2-3.4 pp.22-30,one controlled timing sequence and source V/P/Q,CAP18-CAP20,partially_aligned,partial,"Current evidence is one controlled interface scenario, not the paper scenario matrix.",no,add missing observability before scenario sweeps,P08,medium,yes,yes,recorded source trajectories are available,paper scenario comparison reproduced
