source_reliability,usable_for_modeling,evidence_id,paper_section,paper_page,paper_figure_or_table,paper_statement_paraphrase,exact_short_quote_if_available,modeling_category,parameter_or_logic_name,notes
primary_thesis_pdf_direct_text,yes,E001,title pages,PDF 1-3,title pages,The document is Xu Youxin's 2024 professional master's thesis at North China Electric Power University.,高比例风电系统连锁故障分析与抑制措施研究,paper identity,paper_identity,Identity is directly readable; publication type is a professional master's thesis.
primary_thesis_pdf_direct_text,yes,E002,摘要,I (PDF 4),none,"The model combines power-flow balance, thermal generators, a WECC second-generation DFIG, and multiple protection actions.",建立过负荷保护、风机脱网保护、常规机组保护、减载措施,system topology and source replacement,multi_timescale_accident_chain,High-level scope only; detailed rules are registered separately.
primary_thesis_pdf_direct_text,yes,E003,2.3.1 线路过负荷保护,11 (PDF 19),"Eq. 2-6, 2-7","Line flow redistributes after outages; an inverse-time overload action opens a line, anchored at 1.1 times limit with 5 s delay.",线路负载率达到1.1倍承载极限时，过负荷保护延时5s,line overload protection,line_loading_inverse_time,"The equations are text-extractable, but implementation should be independently transcribed and reviewed."
primary_thesis_pdf_direct_text,yes,E004,2.3.2 风机电压穿越保护,11-12 (PDF 19-20),Fig. 2-3; Eq. 2-8,Wind turbines trip when PCC voltage remains outside the paper's fault-voltage ride-through regions for the specified delay.,风机电压穿越保护的延时动作时间,wind LVRT / trip protection,VRT_delay_curve,Direct text gives curve regions; graphic semantics still require careful implementation review.
primary_thesis_pdf_direct_text,yes,E005,2.3.3 常规机组保护,12 (PDF 20),none,Conventional units use 47.5/51.5 Hz frequency limits with 10 s delay and 0.8/1.3 p.u. voltage limits with 2 s delay.,低频保护定值为47.5Hz，过频保护定值为51.5Hz,conventional-generator protection,generator_frequency_voltage_trip,Thresholds and delays are direct text.
primary_thesis_pdf_direct_text,yes,E006,2.3.4 低频低压减载措施,12-13 (PDF 20-21),none,"UFLS is three-stage at 49.0/48.8/48.5 Hz with 0.8/0.5/0.2 s delays and 25/40/55 percent shedding; UVLS is 0.8 p.u., 1 s, 25 percent.",设置三段低频减载措施动作定值,under-frequency load shedding,UFLS_UVLS,Also supports the under-voltage load-shedding category.
primary_thesis_pdf_direct_text,yes,E007,2.3.5 暂态过电压措施,13 (PDF 21),none,Temporary-overvoltage protection uses a 1.3 p.u. threshold and opens the related line without intentional delay.,过电压阈值为1.3p.u.，在满足动作条件后无延时,temporary-overvoltage protection,TOV_line_trip,The exact target-line association is scenario dependent.
primary_thesis_pdf_direct_text,yes,E008,"2.4, 2.4.3",13-15 (PDF 21-23),Fig. 2-4,"The paper uses an IEEE 39-bus, 220 kV, 10-generator, 46-line PSCAD system and implements protection through PSCAD-MATLAB interaction.",基于PSCAD4.6.2与MATLAB2016b平台,system topology and source replacement,IEEE39_PSCAD_MATLAB,Current project has no active MATLAB coupling.
primary_thesis_pdf_direct_text,yes,E009,2.5 典型故障仿真,15 (PDF 23),Fig. 2-7,"Generators at buses 33, 35 and 38 are replaced by equal-output wind farms; 85 bus-fault/line-outage initial conditions are run for 20 s.",33、35、38母线上火电机组由相同出力的风电场模型所替代,simulation duration,replacement_and_fault_set,"Supports topology, source replacement, fault-set and duration categories."
primary_thesis_pdf_direct_text,yes,E010,2.5 典型故障仿真,16-17 (PDF 24-25),Table 2-2,"At 0.50 s a 2 s three-phase fault near bus 29 is followed by wind trip, UFLS, sequential overloaded-line openings, further wind trip, and generator protection.",母线29近区发生三相短路故障，故障持续时间2.0s,initial fault type,bus29_baseline_chain,The paragraph and table contain a 35/38 wind-farm inconsistency; preserve it as an ambiguity.
primary_thesis_pdf_direct_text,yes,E011,3.3.1.1 过载主导型连锁故障,21 (PDF 29),Fig. 3-3,"The overload-dominant sequence starts with a short circuit, then overloaded line trip(s), topology degradation, source/load actions, islanding and generator loss.",线路L1过载切除，多线路相继切除,scenario comparison dimensions,overload_dominant_chain,The paper explicitly warns that figure events do not have a strict one-way causal order.
primary_thesis_pdf_direct_text,yes,E012,3.3.1.2 脱网主导型连锁故障,21-22 (PDF 29-30),Fig. 3-4,"The off-grid-dominant sequence starts with a short circuit, wind trip and power loss, then state/flow redistribution, line trips, load shedding and generator loss.",风机脱网，大量功率损失，电网状态偏移，潮流大幅转移,wind-farm / DFIG model,offgrid_dominant_chain,This sequence is the closest paper-supported candidate to the current DFIG infrastructure.
primary_thesis_pdf_direct_text,yes,E013,3.3.2.1 故障严重度指标,22-23 (PDF 30-31),Eq. 3-1 to 3-5,"Evaluation uses line-trip count, wind power lost, load shed, and voltage/frequency severity.",定义切线数量、风机脱网功率与减载指标,evaluation outputs,cascade_severity_outputs,Current V/P/Q monitoring covers only a subset.
primary_thesis_pdf_direct_text,yes,E014,"3.3.2, 3.4",23-30 (PDF 31-38),Tables 3-1 to 3-4; Figs. 3-5 to 3-9,"Scenario comparisons vary fault type, duration, wind penetration, electrical distance, and centralized/distributed wind connection.",探讨电气距离、故障条件、风电渗透率等因素,scenario comparison dimensions,scenario_sweep_dimensions,"A future reproduction needs a scenario matrix, not one fixed trial sequence."
primary_thesis_pdf_direct_text,yes,E015,4.2 动态无功补偿装置模型,31-34 (PDF 39-42),Figs. 4-1 to 4-4,The paper models a TCR-TSC SVC and a double-loop PI STATCOM for PCC-voltage support.,本文采用双环PI控制结构搭建STATCOM的控制模块,SVC,SVC_STATCOM_models,Also supports the STATCOM category.
primary_thesis_pdf_direct_text,yes,E016,4.3.2 动态无功补偿抑制效果,35-38 (PDF 43-46),Figs. 4-6 to 4-9,"The comparison connects 300 MVar SVC/STATCOM at bus 28 and applies a 0.5 s-start, 2 s three-phase fault near bus 4.",28节点接入额定无功功率300MVar,STATCOM,bus28_compensation_comparison,"Evaluation includes wind-trip proportion, line trips, and remaining load."
primary_thesis_pdf_direct_text,yes,E017,2.5 典型故障仿真,16 (PDF 24),Table 2-2,The baseline initial fault is located near bus 29.,母线29近区发生三相短路故障,initial fault location,baseline_fault_bus,Location is explicit in the table.
primary_thesis_pdf_direct_text,yes,E018,2.5 典型故障仿真,16 (PDF 24),Table 2-2,The baseline fault begins at 0.50 s and lasts 2.0 s.,故障持续时间2.0s,fault clearing rule,baseline_fault_timing,The source states duration; implementation must still identify the physical clearing switch.
primary_thesis_pdf_direct_text,yes,E019,2.3.4 低频低压减载措施,13 (PDF 21),none,"UVLS uses a 0.8 p.u. threshold, 1.0 s delay and 25 percent load shedding.",低压减载措施电压定值为0.8p.u.,under-voltage load shedding,UVLS,Direct text.
primary_thesis_pdf_direct_text,yes,E020,"4.2.2, 4.3.2",33-38 (PDF 41-46),Figs. 4-3 to 4-9,The STATCOM uses double-loop PI control and is compared at bus 28 with 300 MVar rating.,本文采用双环PI控制结构,STATCOM,STATCOM_double_loop_PI,Device/control evidence is separate from claimed mitigation performance.
