network_branch_id,tline_instance_name,tline_component_definition,component_id,terminal_a_node,terminal_b_node,terminal_a_port,terminal_b_port,parallel_group_id,parallel_index,is_network_transmission_tline,inclusion_status,exclusion_reason,dfiq_pcc_relation,paper_relation_type,paper_evidence_id
E_1_2_1,E_1_2_1,IBR_ConvZ_Modified5:E_1_2_1,1444448891,N1,N2,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N1__N2,1,true,included,,minimum endpoint distance 0 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_1_39_1,E_1_39_1,IBR_ConvZ_Modified5:E_1_39_1,1189073578,N1,N39,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N1__N39,1,true,included,,minimum endpoint distance 1 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_2_3_1,E_2_3_1,IBR_ConvZ_Modified5:E_2_3_1,1020961389,N2,N3,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N2__N3,1,true,included,,minimum endpoint distance 0 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_2_25_1,E_2_25_1,IBR_ConvZ_Modified5:E_2_25_1,1519344658,N2,N25,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N2__N25,1,true,included,,minimum endpoint distance 0 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_3_4_1,E_3_4_1,IBR_ConvZ_Modified5:E_3_4_1,1162123891,N3,N4,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N3__N4,1,true,included,,minimum endpoint distance 1 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_3_18_1,E_3_18_1,IBR_ConvZ_Modified5:E_3_18_1,1471464114,N3,N18,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N3__N18,1,true,included,,minimum endpoint distance 1 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_4_5_1,E_4_5_1,IBR_ConvZ_Modified5:E_4_5_1,738636389,N4,N5,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N4__N5,1,true,included,,minimum endpoint distance 2 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_4_14_1,E_4_14_1,IBR_ConvZ_Modified5:E_4_14_1,1572482807,N4,N14,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N4__N14,1,true,included,,minimum endpoint distance 2 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_5_8_1,E_5_8_1,IBR_ConvZ_Modified5:E_5_8_1,879798877,N5,N8,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N5__N8,1,true,included,,minimum endpoint distance 3 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_6_7_1,E_6_7_1,IBR_ConvZ_Modified5:E_6_7_1,456311389,N6,N7,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N6__N7,1,true,included,,minimum endpoint distance 5 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_6_11_1,E_6_11_1,IBR_ConvZ_Modified5:E_6_11_1,1855004417,N6,N11,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N6__N11,1,true,included,,minimum endpoint distance 6 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_7_8_1,E_7_8_1,IBR_ConvZ_Modified5:E_7_8_1,597473875,N7,N8,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N7__N8,1,true,included,,minimum endpoint distance 4 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_8_9_1,E_8_9_1,IBR_ConvZ_Modified5:E_8_9_1,437459467,N8,N9,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N8__N9,1,true,included,,minimum endpoint distance 3 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_9_39_1,E_9_39_1,IBR_ConvZ_Modified5:E_9_39_1,1264132990,N9,N39,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N9__N39,1,true,included,,minimum endpoint distance 2 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_13_14_1,E_13_14_1,IBR_ConvZ_Modified5:E_13_14_1,150149724,N13,N14,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N13__N14,1,true,included,,minimum endpoint distance 3 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_14_15_1,E_14_15_1,IBR_ConvZ_Modified5:E_14_15_1,2062506559,N14,N15,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N14__N15,1,true,included,,minimum endpoint distance 3 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_15_16_1,E_15_16_1,IBR_ConvZ_Modified5:E_15_16_1,1320038694,N15,N16,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N15__N16,1,true,included,,minimum endpoint distance 4 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_16_17_1,E_16_17_1,IBR_ConvZ_Modified5:E_16_17_1,892617589,N16,N17,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N16__N17,1,true,included,,minimum endpoint distance 3 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_16_19_1,E_16_19_1,IBR_ConvZ_Modified5:E_16_19_1,1699186643,N16,N19,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N16__N19,1,true,included,,minimum endpoint distance 4 TLine hop(s) from DFIG-connected network bus N2,exact thesis branch identity; full-network redistribution observability,E003;E010;E012
E_16_21_1,E_16_21_1,IBR_ConvZ_Modified5:E_16_21_1,2057579691,N16,N21,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N16__N21,1,true,included,,minimum endpoint distance 4 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_16_24_1,E_16_24_1,IBR_ConvZ_Modified5:E_16_24_1,1298064804,N16,N24,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N16__N24,1,true,included,,minimum endpoint distance 4 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_17_18_1,E_17_18_1,IBR_ConvZ_Modified5:E_17_18_1,245689544,N17,N18,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N17__N18,1,true,included,,minimum endpoint distance 2 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_17_27_1,E_17_27_1,IBR_ConvZ_Modified5:E_17_27_1,1678787445,N17,N27,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N17__N27,1,true,included,,minimum endpoint distance 3 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
E_21_22_1,E_21_22_1,IBR_ConvZ_Modified5:E_21_22_1,1961648097,N21,N22,send/left electrical terminal (orientation=0),receive/right electrical terminal (orientation=0),N21__N22,1,true,included,,minimum endpoint distance 5 TLine hop(s) from DFIG-connected network bus N2,full-network redistribution observability,E003;E012
