capability_id,category,component_name,source_or_network_object,project_path,xml_or_fortran_evidence,existing_dynamic_evidence,current_status,claim_boundary
CAP01,network topology representation,IEEE39/PNNL 39-bus network,network,3IBR.pscx; 3IBR_DFIG1_TRIAL.pscx,PSCAD XML contains P1/P2/P3 and network line/load definitions,docs/MODEL_PROVENANCE.md,implemented_and_audited,PNNL topology is present but is not proven identical to the thesis topology/parameters.
CAP02,bus and branch observability,existing meters and source V/P/Q,network,3IBR_DFIG1_TRIAL.pscx,master:voltmetergnd/master:ammeter/master:multimeter exist; no complete branch Output Channel set,data/validation/three_source_electrical_response_final_audit.json,partially_available,Source electrical monitoring does not equal system-wide branch observability.
CAP03,line P / Q / I / loading observability,no audited line-channel set,branches,3IBR_DFIG1_TRIAL.pscx,"262 Output Channels contain no audited comprehensive line P/Q/I/loading map; four real TLine candidates were traced but expose no existing P/Q/I transfer signals",data/reference/paper_branch_candidate_registry.json,not_found,Stage-two preflight ended in static fallback; no branch Output Channel was added.
CAP04,line breaker observability,source-local breakers only,branches,3IBR_DFIG1_TRIAL.pscx,master:breaker3 exists; audited BRK_DFIG/BRK_IBR2_TRIAL/BRK_IBR3_TRIAL are source boundaries,data/validation/three_source_electrical_response_final_audit.json,partially_available,No audited transmission-line breaker state map.
CAP05,line overload relay,none,branches,3IBR_DFIG1_TRIAL.pscx,no overload relay definition or audited line-loading action path,"docs/PAPER_PARAMETER_EXTRACTION.md is paper-only, not model evidence",not_implemented,MATLAB scaffold does not constitute PSCAD protection.
CAP06,fault source and fault clearing,master:tfaultn,fault,3IBR_DFIG1_TRIAL.pscx,master:tfaultn present; existing fixed scenario differs from thesis bus-29 benchmark,data/reference/type3_dfig_fault_interface_audit.json,partially_available,"A fault mechanism exists, but paper location/timing and clearing are not reproduced."
CAP07,DFIG model,Type-3 DFIG trial branch,DFIG,3IBR_DFIG1_TRIAL.pscx,Type-3 component definitions and DFIG branch exist,data/reference/type3_dfig_lvrt_model_integrity_audit.json,implemented_and_audited,Public Type-3 implementation is not proven parameter-identical to the thesis model.
CAP08,DFIG LVRT,external LVRT and local trip chain,DFIG,3IBR_DFIG1_TRIAL.pscx,DFIG_LVRT_* labels and BRK_DFIG path,data/reference/type3_dfig_lvrt_closed_loop_coverage.json,implemented_and_audited,Only audited current criterion/chain; not full paper Eq. 2-8 reproduction.
CAP09,IBR2 source model,IBR_AVM_2_1_1 source B,IBR2,3IBR_DFIG1_TRIAL.pscx,IBR2 V/P/Q and real source module present,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Real source and observability only; not a thesis wind-farm identity claim.
CAP10,IBR3 source model,IBR_AVM_2_1_1 source C,IBR3,3IBR_DFIG1_TRIAL.pscx,IBR3 V/P/Q and real source module present,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Real source and observability only; not a thesis wind-farm identity claim.
CAP11,trial-only IBR2 opening stimulus,IBR2_TEST_ENABLE,IBR2,3IBR_DFIG1_TRIAL.pscx,IBR2_TEST_OPEN_REQ -> IBR2_TRIAL_BRK_CMD,data/validation/ibr2_trial_single_opening_final_audit.json,implemented_and_audited,"Controlled interface-validation stimulus, not natural cascade."
CAP12,trial-only IBR3 opening stimulus,IBR3_TRIAL__OPEN_STIMULUS,IBR3,3IBR_DFIG1_TRIAL.pscx,ONE_SHOT_BREAKER_OPEN_STIMULUS instance,data/validation/ibr3_trial_single_opening_final_audit.json,implemented_and_audited,"Controlled interface-validation stimulus, not natural cascade."
CAP13,source-A event packet,DFIG_LVRT_CASCADE_*,DFIG,3IBR_DFIG1_TRIAL.pscx,DFIG event packet labels and Output Channels,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Monitor record only.
