line_id,from_bus,to_bus,circuit_id,line_name,pscad_element_id,status
1,1,2,1,LINE_01_1_2,TBD_GUI,planned
2,1,39,1,LINE_02_1_39,TBD_GUI,planned
3,2,3,1,LINE_03_2_3,TBD_GUI,planned
4,2,25,1,LINE_04_2_25,TBD_GUI,planned
5,3,4,1,LINE_05_3_4,TBD_GUI,planned
6,3,18,1,LINE_06_3_18,TBD_GUI,planned
7,4,5,1,LINE_07_4_5,TBD_GUI,planned
8,4,14,1,LINE_08_4_14,TBD_GUI,planned
9,5,6,1,LINE_09_5_6,TBD_GUI,planned
10,5,8,1,LINE_10_5_8,TBD_GUI,planned
11,6,7,1,LINE_11_6_7,TBD_GUI,planned
12,6,11,1,LINE_12_6_11,TBD_GUI,planned
13,7,8,1,LINE_13_7_8,TBD_GUI,planned
14,8,9,1,LINE_14_8_9,TBD_GUI,planned
15,9,39,1,LINE_15_9_39,TBD_GUI,planned
16,10,11,1,LINE_16_10_11,TBD_GUI,planned
17,10,13,1,LINE_17_10_13,TBD_GUI,planned
18,13,14,1,LINE_18_13_14,TBD_GUI,planned
19,14,15,1,LINE_19_14_15,TBD_GUI,planned
20,15,16,1,LINE_20_15_16,TBD_GUI,planned
21,16,17,1,LINE_21_16_17,TBD_GUI,planned
22,16,19,1,LINE_22_16_19,TBD_GUI,planned
23,16,21,1,LINE_23_16_21,TBD_GUI,planned
24,16,24,1,LINE_24_16_24,TBD_GUI,planned
25,17,18,1,LINE_25_17_18,TBD_GUI,planned
26,17,27,1,LINE_26_17_27,TBD_GUI,planned
27,21,22,1,LINE_27_21_22,TBD_GUI,planned
28,22,23,1,LINE_28_22_23,TBD_GUI,planned
29,23,24,1,LINE_29_23_24,TBD_GUI,planned
30,25,26,1,LINE_30_25_26,TBD_GUI,planned
31,26,27,1,LINE_31_26_27,TBD_GUI,planned
32,26,28,1,LINE_32_26_28,TBD_GUI,planned
33,26,29,1,LINE_33_26_29,TBD_GUI,planned
34,28,29,1,LINE_34_28_29,TBD_GUI,planned
35,2,30,1,LINE_35_2_30,TBD_GUI,planned
36,6,31,1,LINE_36_6_31,TBD_GUI,planned
37,10,32,1,LINE_37_10_32,TBD_GUI,planned
38,19,33,1,LINE_38_19_33,TBD_GUI,planned
39,20,34,1,LINE_39_20_34,TBD_GUI,planned
40,22,35,1,LINE_40_22_35,TBD_GUI,planned
41,23,36,1,LINE_41_23_36,TBD_GUI,planned
42,25,37,1,LINE_42_25_37,TBD_GUI,planned
43,29,38,1,LINE_43_29_38,TBD_GUI,planned
44,19,20,1,LINE_44_19_20,TBD_GUI,planned
45,11,12,1,LINE_45_11_12,TBD_GUI,planned
46,12,13,1,LINE_46_12_13,TBD_GUI,planned
